fen,result
"r3r3/8/8/p7/P2b3p/4k2P/8/2K5 b - - 25 47",0
"r3r3/8/8/p7/P2bk2p/7P/8/2K5 w - - 26 48",0
"r3r3/8/8/p7/P2bk2p/7P/2K5/8 b - - 27 48",0
"3rr3/8/8/p7/P2bk2p/7P/2K5/8 w - - 28 49",0
"3rr3/8/8/p7/P2bk2p/7P/8/2K5 b - - 29 49",0
"3rr3/8/8/p7/P3k2p/4b2P/8/2K5 w - - 30 50",0
"3rr3/8/8/p7/P3k2p/4b2P/2K5/8 b - - 31 50",0
"3rr3/8/7b/p7/P3k2p/7P/2K5/8 w - - 32 51",0
"3rr3/8/7b/p7/P3k2p/2K4P/8/8 b - - 33 51",0
"3rr3/8/8/p7/P3k2p/2K1b2P/8/8 w - - 34 52",0
"3rr3/8/8/p7/P1K1k2p/4b2P/8/8 b - - 35 52",0
"4r3/8/8/p7/P1K1k2p/4b2P/3r4/8 w - - 36 53",0
"4r3/8/8/p7/P3k2p/2K1b2P/3r4/8 b - - 37 53",0
"4r3/8/8/p7/P3k2p/2K1b2P/1r6/8 w - - 38 54",0
"4r3/8/8/p7/P3k2p/4b2P/1K6/8 b - - 0 54",0
"4r3/8/8/p7/P2k3p/4b2P/1K6/8 w - - 1 55",0
"4r3/8/8/p7/P2k3p/4b2P/2K5/8 b - - 2 55",0
"3r4/8/8/p7/P2k3p/4b2P/2K5/8 w - - 3 56",0
"3r4/8/8/p7/P2k3p/1K2b2P/8/8 b - - 4 56",0
"4r3/8/8/p7/P2k3p/1K2b2P/8/8 w - - 5 57",0
"4r3/8/8/p7/P2k3p/4b2P/2K5/8 b - - 6 57",0
"3r4/8/8/p7/P2k3p/4b2P/2K5/8 w - - 7 58",0
"3r4/8/8/p7/P2k3p/4b2P/8/3K4 b - - 8 58",0
"4r3/8/8/p7/P2k3p/4b2P/8/3K4 w - - 9 59",0
"4r3/8/8/p7/P2k3p/4b2P/4K3/8 b - - 10 59",0
"4r3/8/8/p7/P3k2p/4b2P/4K3/8 w - - 11 60",0
"4r3/8/8/p7/P3k2p/4b2P/8/3K4 b - - 12 60",0
"4r3/8/8/p7/P3k2p/7P/3b4/3K4 w - - 13 61",0
"4r3/8/8/p7/P3k2p/7P/3K4/8 b - - 0 61",0
"4r3/8/8/p7/P2k3p/7P/3K4/8 w - - 1 62",0
"4r3/8/8/p7/P2k3p/7P/2K5/8 b - - 2 62",0
"8/8/8/p7/P2k3p/7P/2K1r3/8 w - - 3 63",0
"8/8/8/p7/P2k3p/7P/4r3/3K4 b - - 4 63",0
"8/8/8/p2k4/P6p/7P/4r3/3K4 w - - 5 64",0
"8/8/8/p2k4/P6p/7P/4K3/8 b - - 0 64",0
"8/8/8/p7/P2k3p/7P/4K3/8 w - - 1 65",0
"8/8/8/p7/P2k3p/7P/5K2/8 b - - 2 65",0
"8/8/8/p7/P3k2p/7P/5K2/8 w - - 3 66",0
"8/8/8/p7/P3k2p/7P/8/4K3 b - - 4 66",0
"8/8/8/p7/P2k3p/7P/8/4K3 w - - 5 67",0
"8/8/8/p7/P2k3p/7P/3K4/8 b - - 6 67",0
"8/8/8/p7/P3k2p/7P/3K4/8 w - - 7 68",0
"8/8/8/p7/P3k2p/2K4P/8/8 b - - 8 68",0
"8/8/8/p2k4/P6p/2K4P/8/8 w - - 9 69",0
"8/8/8/p2k4/P6p/7P/2K5/8 b - - 10 69",0
"8/8/8/p7/P2k3p/7P/2K5/8 w - - 11 70",0
"8/8/8/p7/P2k3p/7P/3K4/8 b - - 12 70",0
"8/8/8/p7/P3k2p/7P/3K4/8 w - - 13 71",0
"8/8/8/p7/P3k2p/2K4P/8/8 b - - 14 71",0
"8/8/8/p2k4/P6p/2K4P/8/8 w - - 15 72",0
"8/8/8/p2k4/P6p/3K3P/8/8 b - - 16 72",0
"8/8/2k5/p7/P6p/3K3P/8/8 w - - 17 73",0
"8/8/2k5/p7/P2K3p/7P/8/8 b - - 18 73",0
"8/1k6/8/p7/P2K3p/7P/8/8 w - - 19 74",0
"8/1k6/8/p2K4/P6p/7P/8/8 b - - 20 74",0
"8/2k5/8/p2K4/P6p/7P/8/8 w - - 21 75",0
"8/2k5/8/p7/P2K3p/7P/8/8 b - - 22 75",0
"8/8/3k4/p7/P2K3p/7P/8/8 w - - 23 76",0
"8/8/3k4/p7/P3K2p/7P/8/8 b - - 24 76",0
"8/4k3/8/p7/P3K2p/7P/8/8 w - - 25 77",0
"8/4k3/8/p2K4/P6p/7P/8/8 b - - 26 77",0
"8/8/5k2/p2K4/P6p/7P/8/8 w - - 27 78",0
"8/8/5k2/p7/P2K3p/7P/8/8 b - - 28 78",0
"8/6k1/8/p7/P2K3p/7P/8/8 w - - 29 79",0
"8/6k1/8/p2K4/P6p/7P/8/8 b - - 30 79",0
"8/8/5k2/p2K4/P6p/7P/8/8 w - - 31 80",0
"8/8/5k2/p7/P2K3p/7P/8/8 b - - 32 80",0
"8/8/6k1/p7/P2K3p/7P/8/8 w - - 33 81",0
"8/8/6k1/p2K4/P6p/7P/8/8 b - - 34 81",0
"8/8/8/p2K1k2/P6p/7P/8/8 w - - 35 82",0
"8/8/8/p4k2/P2K3p/7P/8/8 b - - 36 82",0
"8/8/8/p7/P2K1k1p/7P/8/8 w - - 37 83",0
"8/8/8/p2K4/P4k1p/7P/8/8 b - - 38 83",0
"8/8/8/p2K4/P6p/4k2P/8/8 w - - 39 84",0
"8/8/8/p7/P1K4p/4k2P/8/8 b - - 40 84",0
"8/8/8/p7/P1K1k2p/7P/8/8 w - - 41 85",0
"8/8/8/p1K5/P3k2p/7P/8/8 b - - 42 85",0
"8/8/8/p1K1k3/P6p/7P/8/8 w - - 43 86",0
"8/8/8/p3k3/P1K4p/7P/8/8 b - - 44 86",0
"8/8/8/p7/P1K2k1p/7P/8/8 w - - 45 87",0
"8/8/8/p7/P4k1p/2K4P/8/8 b - - 46 87",0
"8/8/8/p7/P3k2p/2K4P/8/8 w - - 47 88",0
"8/8/8/p7/P1K1k2p/7P/8/8 b - - 48 88",0
"8/8/8/p3k3/P1K4p/7P/8/8 w - - 49 89",0
"8/8/8/p1K1k3/P6p/7P/8/8 b - - 50 89",0
"8/8/8/p1K5/P3k2p/7P/8/8 w - - 51 90",0
"8/8/8/p7/P1K1k2p/7P/8/8 b - - 52 90",0
"8/8/8/p4k2/P1K4p/7P/8/8 w - - 53 91",0
"8/8/8/p2K1k2/P6p/7P/8/8 b - - 54 91",0
